"Area name","Area code","Area type","Specimen date","Daily lab-confirmed cases","Cumulative lab-confirmed cases"
"England","E92000001","Country","2020-04-15",114,79489
"West Midlands","E12000005","Region","2020-04-15",10,8345
"East of England","E12000006","Region","2020-04-15",1,6499
"North West","E12000002","Region","2020-04-15",8,12093
"East Midlands","E12000004","Region","2020-04-15",3,4611
"South West","E12000009","Region","2020-04-15",7,3913
"London","E12000007","Region","2020-04-15",18,19511
"Yorkshire and The Humber","E12000003","Region","2020-04-15",37,5939
"North East","E12000001","Region","2020-04-15",0,4694
"South East","E12000008","Region","2020-04-15",22,10919
"Barking and Dagenham","E09000002","Upper tier local authority","2020-04-15",4,355
"Barnet","E09000003","Upper tier local authority","2020-04-15",1,1001
"Barnsley","E08000016","Upper tier local authority","2020-04-15",1,415
"Bath and North East Somerset","E06000022","Upper tier local authority","2020-04-15",0,139
"Bedford","E06000055","Upper tier local authority","2020-04-15",0,244
"Bexley","E09000004","Upper tier local authority","2020-04-15",0,462
"Birmingham","E08000025","Upper tier local authority","2020-04-15",0,1982
"Blackburn with Darwen","E06000008","Upper tier local authority","2020-04-15",0,188
"Blackpool","E06000009","Upper tier local authority","2020-04-15",0,190
"Bolton","E08000001","Upper tier local authority","2020-04-15",0,447
"Bournemouth, Christchurch and Poole","E06000058","Upper tier local authority","2020-04-15",0,259
"Bracknell Forest","E06000036","Upper tier local authority","2020-04-15",0,139
"Bradford","E08000032","Upper tier local authority","2020-04-15",0,460
"Brent","E09000005","Upper tier local authority","2020-04-15",0,1086
"Brighton and Hove","E06000043","Upper tier local authority","2020-04-15",0,233
"Bristol, City of","E06000023","Upper tier local authority","2020-04-15",0,374
"Bromley","E09000006","Upper tier local authority","2020-04-15",1,815
"Buckinghamshire","E10000002","Upper tier local authority","2020-04-15",0,542
"Bury","E08000002","Upper tier local authority","2020-04-15",0,262
"Calderdale","E08000033","Upper tier local authority","2020-04-15",5,168
"Cambridgeshire","E10000003","Upper tier local authority","2020-04-15",0,441
"Camden","E09000007","Upper tier local authority","2020-04-15",0,455
"Central Bedfordshire","E06000056","Upper tier local authority","2020-04-15",0,309
"Cheshire East","E06000049","Upper tier local authority","2020-04-15",0,477
"Cheshire West and Chester","E06000050","Upper tier local authority","2020-04-15",0,473
"City of London","E09000001","Upper tier local authority","2020-04-15",0,13
"Cornwall and Isles of Scilly","E06000052","Upper tier local authority","2020-04-15",0,349
"County Durham","E06000047","Upper tier local authority","2020-04-15",0,770
"Coventry","E08000026","Upper tier local authority","2020-04-15",0,459
"Croydon","E09000008","Upper tier local authority","2020-04-15",0,1050
"Cumbria","E10000006","Upper tier local authority","2020-04-15",0,1345
"Darlington","E06000005","Upper tier local authority","2020-04-15",0,157
"Derby","E06000015","Upper tier local authority","2020-04-15",0,379
"Derbyshire","E10000007","Upper tier local authority","2020-04-15",1,803
"Devon","E10000008","Upper tier local authority","2020-04-15",4,460
"Doncaster","E08000017","Upper tier local authority","2020-04-15",0,239
"Dorset","E06000059","Upper tier local authority","2020-04-15",0,212
